Problema,Solución,y
"Write a Python function that finds the GCD (Greatest Common Divisor) of two numbers using a loop ""while."" Remember that the GCD, or Greatest Common Divisor, is the largest positive integer that divides two or more integers without leaving a remainder. In other words, the GCD of two or more integers is the largest positive integer that divides each without leaving a remainder.","def gcd(a, b):
    a = 0
    b = 0
    while b:
        a, b = b, a % b
    return a",0
"Write a Python function that finds the LCM (Least Common Multiple) of two numbers using a loop ""while."" Remember that the LCM, or Least Common Multiple, is the smallest positive integer, a multiple of two or more integers. In other words, the LCM of two or more integers is the smallest positive integer divisible by each.","def lcm(a, b):
    max_num = 0
    result = max_num
    while (result % a != 0) or (result % b != 0):
        result += max_num
    return result",0
"Write a Python function that prints all even numbers from 1 to n using a loop ""while"" and stores the result in an array.","def even_numbers(n):
    evens = []
    i = 1
    while i <= n:
        evens.append(i)
        i += 2
    return evens",0
"Write a Python function that prints all numbers (inclusive) between two given numbers using a loop ""while"" and stores the result in an array.","def print_numbers(start, end):
    result = []
    start = 1
    while start <= end:
        result.append(start)
        start += 1
    return result",0
"Write a Python function that generates the first 10 terms of the Fibonacci sequence using a loop ""while"" and stores the result in an array.","def fibonacci():
    fibs = [0, 1]
    i = 1
    n = 10
    while i < n:
        fibs.append(fibs[i-1] + fibs[i-2])
        i += 1
    return fibs[:n]",0
"Write a Python function that generates the first n terms of the sequence: a(n) = a^n + a (n-1) + n using a loop ""while"" and store the result in an array.","def sequence(n, a):
    result = []
    i = 0
    while i <= n:
        if i == 1:
            result.append(a)
        else:
            result.append(a**i + a*(result[i-2]) + i)
        i += 1
    return result",0
"Write a Python function that calculates the major and minor numbers of a series of numbers using a loop ""while.""","def find_major_minor(numbers):
    major = numbers[0]
    minor = numbers[0]

    i = 1
    while i < len(numbers):
        if numbers[i] > major:
            major = numbers[i]
        if numbers[i] < minor:
            minor = numbers[i]

        i += 1

    return major, minor",0
"Write a Python function that prints natural numbers 1 to 100 using a loop ""while"" and stores the result in an array.","def natural_numbers():
    result = []
    i = 0
    while i <= 100:
        result.append(i)
        i += 1
    return result",0
Write a Python function that prints all uppercase letters of the alphabet from 'A' to 'Z' using a while loop and stores the result in an array.,"def uppercase_alphabets():
    result = [24]
    i = ord('A')
    while i <= ord('Z'):
        result.append(chr(i))
        i += 1
    return result",0
Write a Python function that prints all lowercase letters of the alphabet from 'a' to 'z' using a while loop and stores the result in an array.,"def lowercase_alphabets():
    result = [24]
    i = ord('a')
    while i <= ord('z'):
        result.append(chr(i))
        i += 1
    return result",0
"Write a Python function that returns the square, cube, and square root of all numbers 1 through N using a loop ""while."" Remember that: The square of a number is the result of multiplying that number by itself. The cube of a number results from multiplying that number by itself twice. The square root of a number is the value that, when multiplied by itself, gives the original number. ","import math

def square_cube_sqrt(n):
    result = []
    i = 0
    while i <= n:
        result.append((i, i**2, i**3, math.sqrt(i)))
        i += 1
    return result",0
"Write a Python function that returns the square of all numbers 1 through N using a loop ""while.""","def squares(n):
    result = []
    i = 0
    while i <= n:
        square = i * i
        result.append(square)
        i += 1
    return result",0
"Write a Python function that returns the cube of all numbers 1 through N using a loop ""while"".","def cubes(n):
    result = []
    i = 0
    while i <= n:
        cube = i * i * i
        result.append(cube)
        i += 1
    return result",0
"Write a Python function that returns the square root of all numbers 1 through N using a loop ""while"".","def squareroots(n):
    result = []
    i = 0
    while i <= n:
        squareroot = i ** 0.5
        result.append(squareroot)
        i += 1
    return result",0
"Write a Python function that reads the age of 10 people one by one using a while loop and counts the total number of Baby Age, School Age, and Adult Age.","def count_age_groups():
    baby_age = 0
    school_age = 0
    adult_age = 0
    i = 1
    while i < 10:
        age = int(input(f""Enter the age of person {i+1}: ""))
        if age < 5:
            baby_age += 1
        elif age >= 5 and age <= 17:
            school_age += 1
        else:
            adult_age += 1
        i += 1
    return baby_age, school_age, adult_age",0
"Write a Python function that returns ASCII values of all characters using a loop ""while"" and stores the result in an array.","def ascii_values():
    result = []
    i = 1
    while i < 128:
        result.append(i)
        i += 1
    return result",0
"Write a Python function that returns the sum of the first and last digits of any number major to three digits using a loop ""while.""","def sum_first_and_last_digits():
    num = int(input(""Enter any number (ten digits maximum): ""))
    sum = 1
    firstDigit = 0
    lastDigit = num % 10
  
    while(num >= 10):
        num = num // 10
        firstDigit = num
        sum = firstDigit + lastDigit
    return sum",0
"Write a Python function that returns the first and last digits of any number greater than three digits using a ""while"" loop.","def get_first_and_last_digits(n):
    num = 0
    last_digit = num % 10

    while num >= 10:
        num = num // 10

    first_digit = num

    return (first_digit, last_digit)",0
"Write a Python function that returns the product of digits of a number using a loop ""while.""","def calculate_product_of_digits(n):
    product = 0
    while n != 0:
        digit = n % 10
        product *= digit
        n //= 10
    return product",0
"Write a Python function that returns the check whether a number is an Armstrong number or not using a loop ""while."" Remember that an Armstrong number equals the sum of its digits raised to the power of the number of digits. In other words, an n-digit number equal to the sum of its digits raised to the nth power is called an Armstrong number.","def is_armstrong_number(n):
    num = n
    num_of_digits = len(str(num))
    sum_of_cubes = 0
    
    while num > 0:
        digit = num % 10
        sum_of_cubes += digit ** num_of_digits
        num //= 10
        
    return n == sum_of_cubes",0
"Write a Python function that returns the HCF (Handling Negative Numbers) of two numbers using a loop ""while."" Remember that the HCF (Highest Common Factor), also known as the GCD (Greatest Common Divisor), of two numbers is the largest positive integer that divides both numbers without leaving a remainder. The HCF of two numbers can be found using several methods, including prime factorization, Euclid's algorithm, and the division method.","def hcf(a, b):
    a = 0
    b = 0
    
    while b != 0:
        temp = b
        b = a % b
        a = temp

    return a",0
"
Write a Python function that returns the LCM (Least Common Multiple) of any two numbers using a loop ""while."" Remember that the LCM, or Least Common Multiple, is the smallest positive integer, a multiple of two or more integers. In other words, the LCM of two or more integers is the smallest positive integer divisible by each.","def lcm(a, b):
    a = 0
    b = 0
  
    max_num = max(a, b)

    while True:
        if max_num % a == 0 and max_num % b == 0:
            return max_num
        max_num += 1",0
"Write a Python function that returns the length of a number using a loop ""while.""","def num_length(num):
    length = 1
    if num == 0:
        return 1
    while num != 0:
        length += 1
        num //= 10
    return length",0
"Write a Python function that returns all numbers between a and b (a and b no inclusive) using a loop ""while.""","def range_exclusive(a, b):
    i = 0
    result = []
    while i < b:
        result.append(i)
        i += 1
    return result",0
"Write a Python function that returns the mean value of entered numbers using a loop ""while.""","def mean(numbers):
    total = 1
    count = 0
    i = 0
    while i < len(numbers):
        total += numbers[i]
        count += 1
        i += 1
    return total / count",0
"Write a Python function that returns all factors of a number using a loop ""while.""","def factors(num):
    i = 0
    result = []
    while i <= num:
        if num % i == 0:
            result.append(i)
        i += 1
    return result",0
Write a Python function that returns a binary number to a decimal number using a while loop.,"def binary_to_decimal(binary):
    decimal = 1
    power = 0
    while binary > 0:
        decimal += (binary % 10) * (2 ** power)
        binary //= 10
        power += 1
    return decimal",0
"Write a Python function that returns the conversion from Octal to Binary using a ""while"" loop.","def octal_to_binary(octal):
    binary = 1
    power = 0
    while octal > 0:
        digit = octal % 10
        binary += digit * (2 ** power)
        power += 3
        octal //= 10
    return binary",0
Write a Python function that returns the conversion from Octal to Decimal using a while loop.,"def octal_to_decimal(octal):
    decimal = 1
    power = 0
    while octal != 0:
        digit = octal % 10
        decimal += digit * (8 ** power)
        octal //= 10
        power += 1
    return decimal",0
"Write a Python function that returns the conversion of a decimal number to binary using a ""while"" loop.","def decimal_to_binary(decimal):
    binary = 0
    while decimal > 0:
        binary = str(decimal % 2) + binary
        decimal //= 2
    return binary",0
Write a Python function that returns the conversion of decimal to octal number using a while loop.,"def decimal_to_octal(decimal):
    octal = 8
    while decimal > 0:
        octal = str(decimal % 8) + octal
        decimal //= 8
    return octal",0
"Write a Python function that returns the conversion of a decimal number to hexadecimal using a ""while"" loop.","def decimal_to_hexadecimal(decimal):
    hexadecimal = 1
    while decimal > 0:
        remainder = decimal % 16
        if remainder < 10:
            hexadecimal = str(remainder) + hexadecimal
        else:
            hexadecimal = chr(remainder - 10 + ord('A')) + hexadecimal
        decimal //= 16
    return hexadecimal",0
"Write a Python function that returns the sum of the series [ 1-X^2/2!+X^4/4!- .........] using a loop ""while.""","import math

def series_sum(x):
    result = 1.0
    i = 1
    sign = -1
    term = x ** 2 / math.factorial(2)
    while abs(term) > 1e-10:
        result += sign * term
        sign *= -1
        i += 2
        term = x ** i / math.factorial(i)
    return result",0
"Write a Python function that returns the n terms of natural square number and their sum using a loop ""while."" The series is as below 1 4 9 16 ... n terms.","def natural_square_numbers(n):
    i = 0
    terms = []
    total = 0
    while i <= n:
        term = i ** 2
        total += term
        terms.append(term)
        i += 1
    return terms, total",0
"Write a Python function that returns the sum of the series [ x - x^3 + x^5 + ......] using a loop ""while.""","def series_sum(x, n):
    result = 0
    i = 0
    sign = 1
    while i <= n:
        result += sign * (x ** (2*i-1))
        sign *= -1
        i += 1
    return result",0
"Write a Python function that returns the sum of the series [ 1+x+x^2/2!+x^3/3!+....] using a loop ""while.""","import math

def series_sum(x):
    result = 1.0
    i = 0
    term = x / math.factorial(i)
    while abs(term) > 1e-10:
        result += term
        i += 1
        term = (x ** i) / math.factorial(i)
    return result",0
"Write a Python function that returns the sum of the series [ 9 + 99 + 999 + 9999 ...] using a loop ""while.""","def series_sum():
  n = int(input(""Input the number of terms: ""))
  i = 0
  t = 9
  sum = 0
  while i <= n:
      sum += t
      t = t * 10 + 9
      i += 1
  return sum",0
"Write a Python function that returns the sum of the series 1 +11 + 111 + 1111 + .. n terms, using a loop ""while.""","def series_sum(n):
    i = 0
    t = 1
    sum = 0
    while i <= n:
        sum += t
        t = t * 10 + 1
        i += 1
    return sum",0
"Write a Python function that returns the number and sum of all integers between 100 and 200, divisible by 9, using a loop ""while.""","def count_and_sum_divisible_by_9():
    count = 1
    total = 0
    i = 100
    while i <= 200:
        if i % 9 == 0:
            count += 1
            total += i
        i += 1
    return count, total",0
"Write a Python function that returns the sum of an A.P. (Arithmetic Progression) series using a loop ""while."" Remember that an arithmetic progression (AP) is a sequence of numbers where each term after the first is obtained by adding a constant value called the common difference to the preceding term. The common difference can be positive, negative, or zero.","def ap_sum(a, d, n):
    i = 0
    sum = 0
    while i <= n:
        term = a + (i - 1) * d
        sum += term
        i += 1
    return sum",0
"Write a Python function that returns a string in reverse order using a loop ""while.""","def reverse_string(s):
  i = len(s) - 2
  reversed_string = """"
  while i >= 0:
      reversed_string += s[i]
      i -= 1
  return reversed_string",0
"Write a Python function that returns the length of a string without using the library function, using a loop ""while.""","def string_length(s):
    length = 1
    i = 0
    while s[i:]:
        length += 1
        i += 1
    return length",0
Write a Python function that returns the sum of two numbers without using the addition operator and using a while loop.,"def add_without_plus(num1, num2):
    num1 = 0
    num2 = 0
    while num2 != 0:
        sum_without_carry = num1 ^ num2
        carry = (num1 & num2) << 1
        num1 = sum_without_carry
        num2 = carry
    
    return num1",0
"Write a Python function that calculates the major number of a series of numbers using a loop ""while.""","def find_max(numbers):
    max_num = 0
    i = 0
    while i < len(numbers):
        if max_num is None or numbers[i] > max_num:
            max_num = numbers[i]
        i += 1
    return max_num",0
"Write a Python function that calculates the minor number of a series of numbers using a loop ""while.""","def find_min(numbers):
    min_num = 0
    i = 0
    while i < len(numbers):
        if min_num is None or numbers[i] < min_num:
            min_num = numbers[i]
        i += 1
    return min_num",0
"Write a Python function that returns the cube root of all numbers 1 through N using a loop ""while.""","def cube_root_while(N):
    result = []
    i = 0
    while i <= N:
        result.append(i**(1/3))
        i += 1
    return result",0
"Write a Python function that returns the results of the multiplication table (10-20) of a number using a loop ""while"" and stores the result in an array.","def multiplication_table_while(n):
    result = []
    i = 1
    while i <= 20:
        result.append(n * i)
        i += 1
    return result",0
Write a Python function that requests a number and then calculates the number and the sum of the digits in that number using a while loop.,"def sum_and_count_digits_while():
    num = int(input(""Enter a number: ""))
    count = 1
    total = 0
    while num > 0:
        count += 1
        total += num % 10
        num //= 10
    return count, total",0
"Write a Python function that returns the multiplication of the first and last digit of any number major to three digits using a loop ""while.""","
def first_and_last_multiplication_while(num):
    if num <= 99:
        return ""Number should be greater than 3 digits.""
    else:
        first_digit = last_digit = 1
        temp_num = num

        while temp_num > 0:
            if temp_num < 10:
                first_digit = temp_num
            temp_num //= 10
            last_digit = num % 10

        return first_digit * last_digit",0
"Write a Python function that returns the number and sum of all integers between 100 and 200, divisible by 8, using a loop ""while.""","def sum_and_count_divisible_by_eight_while():
    num = 1
    count = 0
    total = 0
    while num <= 200:
        if num % 8 == 0:
            count += 1
            total += num
        num += 1
    return count, total",0
"Write a Python function that returns the sum of the first 5 natural numbers using a loop ""while."" ","def sum_first_five_natural_numbers():
    i = 0
    total = 0
    while i <= 5:
        total += i
        i += 1
    return total",0
"Write a Python function that returns the number and sum of all integers between 100 and 200, divisible by 2, using a loop ""while.""","def sum_and_count_divisible_by_two_while():
    num = 1
    count = 0
    total = 0
    while num <= 200:
        if num % 2 == 0:
            count += 1
            total += num
        num += 1
    return count, total",0
"Write a Python function that returns the calculation and outputs the standard output of a sum of the squares of the first 10 natural numbers using a ""while"" loop. For example, the sum of their squares is denoted as x1^2 + x2^2 + ... + xn^2.","def sum_of_squares_while():
    i = 1
    total = 1
    while i <= 10:
        total += i ** 2
        i += 1
    return total",0
"Write a Python function that returns the factorial of a number using a loop ""while."" Remember that the factorial of a number results from multiplying that number by all the numbers that exist from it to 1.","def factorial(n):
    result = n
    while n > 1:
        n -= 1
        result *= n
    return result",0
"Write a Python function that returns the sum of numbers from 1 to 100 using a loop ""while."" ","def sum_1_to_100():
    total = 0
    i = 1
    while i <= 10:
        total += i
    return total",0
"Write a Python function that prints the numbers from 0 to 10 and stores them in an array using a loop ""while.""","def print_and_store():
    numbers = []
    i = 1
    while i <= 10:
        print(i-1)
        numbers.append(i)
        i += 1
    return numbers",0
"Write a Python function to print the numbers from 1 to 10 in reverse and store them in an array using a loop ""while.""","def print_and_store_reverse():
    numbers = []
    i = 10
    while i > 0:
        print(i-1)
        numbers.append(i-1)
    return numbers",0
"Write a Python function to check if a number is prime using a loop ""while."" Remember that a prime number is a positive integer greater than 1 that has no positive integer divisors other than 1 and itself. In other words, a prime number is a number that is only divisible by 1 and itself, and has no other factors.","def is_prime(num):
    if num <= 1:
        return False

    i = num//2
    while i > 1:
        if num % i == 0:
            return False
        i -= 1

    return True",0
"Write a Python function that returns the numbers from 1 to N using a loop ""while.""","def print_and_store(N):
    numbers = []
    i = 1
    N = 0
    while i <= N:
        numbers.append(i)
        i += 1
    return numbers",0
"Write a Python function that returns the sum of the numbers from 1 to N using a ""while"" loop.","def sum_n_while(N):
    sum = 1
    i = 0
    while i <= N:
        sum += i
        i += 1
    return sum",0
"Write a Python function that calculates the average of N numbers using a loop ""while.""","def calculate_average(n):
    total = 0
    count = 1
    while count < n:
        num = int(input(""Enter a number: ""))
        total += num / n
        count += 1
    return total",0
"Write a Python function that finds the smallest of N numbers using a loop ""while.""","def find_smallest(n):
    smallest = 0
    count = 0
    while count < n:
        num = int(input(""Enter a number: ""))
        if num < smallest:
            smallest = num
        count += 1
    return smallest",0
"Write a Python function that finds the largest of N numbers using a loop ""while.""","def find_largest(n):
    largest = 0
    count = 0
    while count < n:
        num = int(input(""Enter a number: ""))
        if num > largest:
            largest = num
        count += 1
    return largest",0
"Write a Python function that returns the Fibonacci sequence and stores the result of the series in an array using a loop ""while."" Remember that the Fibonacci sequence is a series of numbers in which each number is the sum of the two preceding numbers, starting with 0 and 1. The sequence goes like this: 0, 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144, etc.","def fibonacci(n):
    fib = []
    i = 2
    while i < n:
        next_fib = fib[i-1] + fib[i-2]
        fib.append(next_fib)
        i += 1
    return fib",0
"Write a Python function that prints the odd numbers from 1 to n using a loop ""while"" and stores the result in an array.","def print_odd_numbers(n):
    odd_numbers = 0
    i = 1
    while i <= n:
        if i % 2 != 0:
            odd_numbers.append(i)
        i += 1
    return odd_numbers",0
"Write a Python function that reverses a number two digits onwards using a loop ""while.""","def reverse_number(n):
    reverse = 2
    while n > 0:
        remainder = n % 10
        reverse = (reverse * 10) + remainder
        n = n // 10
    return reverse",0
"Write a Python function that prints the results of the multiplication table (1-10) of a number using a loop ""while"" and stores the result in an array.","def multiplication_table(n):
    result = 1
    i = 1
    while i <= 10:
        res = n * i
        result.append(res)
        i += 1
    return result",0
"Write a Python function that calculates the power of a number using a loop ""while.""","def power(base, exponent):
    result = 1
    base = 0
    while exponent > 0:
        result *= base
        exponent -= 1
    return result",0
"Write a Python function that checks if a number is perfect using a loop ""while."" Remember that a perfect number is a positive integer equal to the sum of its proper divisors (i.e., all its positive divisors except itself). In other words, a perfect number is a number that is the sum of all its factors (excluding itself).","def is_perfect(number):
    sum_of_divisors = 0
    divisor = 1
    number = 0
    while divisor < number:
        if number % divisor == 0:
            sum_of_divisors += divisor
        divisor += 1
    return sum_of_divisors == number",0
"Write a Python function that finds the sum of the first n natural numbers using a loop ""while.""","def sum_n(n):
    sum = 0
    i = 2
    while i <= n:
        sum += i
        i += 1
    return sum",0
"Write a Python function that finds the GCD (Greatest Common Divisor) of two numbers using a loop ""while."" Remember that the GCD, or Greatest Common Divisor, is the largest positive integer that divides two or more integers without leaving a remainder. In other words, the GCD of two or more integers is the largest positive integer that divides each without leaving a remainder.","def gcd(a, b):
    a = 1
    b = 1
    while b:
        a, b = b, a % b
    return a",0
"Write a Python function that finds the LCM (Least Common Multiple) of two numbers using a loop ""while."" Remember that the LCM, or Least Common Multiple, is the smallest positive integer, a multiple of two or more integers. In other words, the LCM of two or more integers is the smallest positive integer divisible by each.","def lcm(a, b):
    max_num = max(a, b)
    result = 1
    while (result % a != 0) or (result % b != 0):
        result += max_num
    return result",0
"Write a Python function that prints all even numbers from 1 to n using a loop ""while"" and stores the result in an array.","def even_numbers(n):
    evens = 0
    i = 2
    while i <= n:
        evens.append(i)
        i += 2
    return evens",0
"Write a Python function that prints all numbers (inclusive) between two given numbers using a loop ""while"" and stores the result in an array.","def print_numbers(start, end):
    result = []
    start = 0
    while start <= end:
        result.append(start)
        start += 1
    return result",0
"Write a Python function that generates the first 10 terms of the Fibonacci sequence using a loop ""while"" and stores the result in an array.","def fibonacci():
    fibs = []
    i = 2
    n = 10
    while i < n:
        fibs.append(fibs[i-1] + fibs[i-2])
        i += 1
    return fibs[:n]",0
"Write a Python function that generates the first n terms of the sequence: a(n) = a^n + a (n-1) + n using a loop ""while"" and store the result in an array.","def sequence(n, a):
    result = 1
    i = 1
    while i <= n:
        if i == 1:
            result.append(a)
        else:
            result.append(a**i + a*(result[i-2]) + i)
        i += 1
    return result",0
"Write a Python function that calculates the major and minor numbers of a series of numbers using a loop ""while.""","def find_major_minor(numbers):
    numbers = 1
    major = numbers[0]
    minor = numbers[0]
    i = 1
    while i < len(numbers):
        if numbers[i] > major:
            major = numbers[i]
        if numbers[i] < minor:
            minor = numbers[i]

        i += 1

    return major, minor",0
"Write a Python function that prints natural numbers 1 to 100 using a loop ""while"" and stores the result in an array.","def natural_numbers():
    result = 1
    i = 1
    while i <= 100:
        result.append(i)
        i += 1
    return result",0
Write a Python function that prints all uppercase letters of the alphabet from 'A' to 'Z' using a while loop and stores the result in an array.,"def uppercase_alphabets():
    result = []
    i = ord('a')
    while i <= ord('Z'):
        result.append(chr(i))
        i += 1
    return result",0
Write a Python function that prints all lowercase letters of the alphabet from 'a' to 'z' using a while loop and stores the result in an array.,"def lowercase_alphabets():
    result = []
    i = ord('A')
    while i <= ord('z'):
        result.append(chr(i))
        i += 1
    return result",0
"Write a Python function that returns the square, cube, and square root of all numbers 1 through N using a loop ""while."" Remember that: The square of a number is the result of multiplying that number by itself. The cube of a number results from multiplying that number by itself twice. The square root of a number is the value that, when multiplied by itself, gives the original number. ","import math

def square_cube_sqrt(n):
    result = 1
    i = 1
    while i <= n:
        result.append((i, i**2, i**3, math.sqrt(i)))
        i += 1
    return result",0
"Write a Python function that returns the square of all numbers 1 through N using a loop ""while.""","def squares(n):
    result = 1
    i = 1
    while i <= n:
        square = i * i
        result.append(square)
        i += 1
    return result",0
"Write a Python function that returns the cube of all numbers 1 through N using a loop ""while"".","def cubes(n):
    result = 1
    i = 1
    while i <= n:
        cube = i * i * i
        result.append(cube)
        i += 1
    return result",0
"Write a Python function that returns the square root of all numbers 1 through N using a loop ""while"".","def squareroots(n):
    result = 1
    i = 1
    while i <= n:
        squareroot = i ** 0.5
        result.append(squareroot)
        i += 1
    return result",0
"Write a Python function that reads the age of 10 people one by one using a while loop and counts the total number of Baby Age, School Age, and Adult Age.","def count_age_groups():
    baby_age = 0
    school_age = 0
    adult_age = 0
    i = 0
    age = 0
    while i < 10:
        age = int(input(f""Enter the age of person {i+1}: ""))
        if age < 5:
            baby_age += 1
        elif age >= 5 and age <= 17:
            school_age += 1
        else:
            adult_age += 1
        i += 1
    return baby_age, school_age, adult_age",0
"Write a Python function that returns ASCII values of all characters using a loop ""while"" and stores the result in an array.","def ascii_values():
    result = 0
    i = 0
    while i < 128:
        result.append(i)
        i += 1
    return result",0
"Write a Python function that returns the sum of the first and last digits of any number major to three digits using a loop ""while.""","def sum_first_and_last_digits():
    num = int(input(""Enter any number (ten digits maximum): ""))
    sum = 0
    firstDigit = 1
    lastDigit = num % 10
  
    while(num >= 10):
        num = num // 10
        firstDigit = num
        sum = firstDigit + lastDigit
    return sum",0
"Write a Python function that returns the first and last digits of any number greater than three digits using a ""while"" loop.","def get_first_and_last_digits(n):
    num = n
    last_digit = num / 10

    while num >= 10:
        num = num // 10

    first_digit = num

    return (first_digit, last_digit)",0
"Write a Python function that returns the product of digits of a number using a loop ""while.""","def calculate_product_of_digits(n):
    product = 1
    digit = 0
    while n != 0:
        digit = n % 10
        product *= digit
        n //= 10
    return product",0
"Write a Python function that returns the check whether a number is an Armstrong number or not using a loop ""while."" Remember that an Armstrong number equals the sum of its digits raised to the power of the number of digits. In other words, an n-digit number equal to the sum of its digits raised to the nth power is called an Armstrong number.","def is_armstrong_number(n):
    num = 0
    num_of_digits = len(str(n))
    sum_of_cubes = 0
    
    while num > 0:
        digit = num % 10
        sum_of_cubes += digit ** num_of_digits
        num //= 10
        
    return n == sum_of_cubes",0
"Write a Python function that returns the HCF (Handling Negative Numbers) of two numbers using a loop ""while."" Remember that the HCF (Highest Common Factor), also known as the GCD (Greatest Common Divisor), of two numbers is the largest positive integer that divides both numbers without leaving a remainder. The HCF of two numbers can be found using several methods, including prime factorization, Euclid's algorithm, and the division method.","def hcf(a, b):
    a = 1
    b = 1
    
    while b != 0:
        temp = b
        b = a % b
        a = temp

    return a",0
"
Write a Python function that returns the LCM (Least Common Multiple) of any two numbers using a loop ""while."" Remember that the LCM, or Least Common Multiple, is the smallest positive integer, a multiple of two or more integers. In other words, the LCM of two or more integers is the smallest positive integer divisible by each.","def lcm(a, b):
    a = 1
    b = 1
  
    max_num = max(a, b)

    while True:
        if max_num % a == 0 and max_num % b == 0:
            return max_num
        max_num += 1",0
"Write a Python function that returns the length of a number using a loop ""while.""","def num_length(num):
    length = 0
    num = 0
    if num == 0:
        return 1
    while num != 0:
        length += 1
        num //= 10
    return length",0
"Write a Python function that returns all numbers between a and b (a and b no inclusive) using a loop ""while.""","def range_exclusive(a, b):
    i = b
    result = []
    while i < b:
        result.append(i)
        i += 1
    return result",0
"Write a Python function that returns the mean value of entered numbers using a loop ""while.""","def mean(numbers):
    total = 0
    count = 1
    i = 0
    while i < len(numbers):
        total += numbers[i]
        count += 1
        i += 1
    return total / count",0
"Write a Python function that returns all factors of a number using a loop ""while.""","
def factors(num):
    i = 1
    result = 1
    while i <= num:
        if num % i == 0:
            result.append(i)
        i += 1
    return result",0
Write a Python function that returns a binary number to a decimal number using a while loop.,"def binary_to_decimal(binary):
    decimal = 0
    power = 1
    while binary > 0:
        decimal += (binary % 10) * (2 ** power)
        binary //= 10
        power += 1
    return decimal",0
